,Trial_Id,Model,Experiment,Question_Num,Repeat_Num,Anchor_Type,Comparison,Estimate
181,182,Llama-3.1-8B,Baseline,12,6,Low,HIGHER,120
182,183,Llama-3.1-8B,Baseline,12,7,Low,HIGHER,120
183,184,Llama-3.1-8B,Baseline,12,8,Low,HIGHER,120
184,185,Llama-3.1-8B,Baseline,12,1,High,HIGHER,450
185,186,Llama-3.1-8B,Baseline,12,2,High,HIGHER,400
186,187,Llama-3.1-8B,Baseline,12,3,High,HIGHER,400
187,188,Llama-3.1-8B,Baseline,12,4,High,HIGHER,400
188,189,Llama-3.1-8B,Baseline,12,5,High,HIGHER,400
189,190,Llama-3.1-8B,Baseline,12,6,High,HIGHER,450
190,191,Llama-3.1-8B,Baseline,12,7,High,HIGHER,450
191,192,Llama-3.1-8B,Baseline,12,8,High,HIGHER,400
192,193,Llama-3.1-8B,Baseline,13,1,Low,HIGHER,25000000
193,194,Llama-3.1-8B,Baseline,13,2,Low,HIGHER,15000000
194,195,Llama-3.1-8B,Baseline,13,3,Low,HIGHER,25000000
195,196,Llama-3.1-8B,Baseline,13,4,Low,HIGHER,25000000
196,197,Llama-3.1-8B,Baseline,13,5,Low,HIGHER,15000000
197,198,Llama-3.1-8B,Baseline,13,6,Low,HIGHER,15000000
198,199,Llama-3.1-8B,Baseline,13,7,Low,HIGHER,15000000
199,200,Llama-3.1-8B,Baseline,13,8,Low,HIGHER,15000000
200,201,Llama-3.1-8B,Baseline,13,1,High,HIGHER,15000000
201,202,Llama-3.1-8B,Baseline,13,2,High,HIGHER,25000000
202,203,Llama-3.1-8B,Baseline,13,3,High,HIGHER,25000000
203,204,Llama-3.1-8B,Baseline,13,4,High,HIGHER,15000000
204,205,Llama-3.1-8B,Baseline,13,5,High,HIGHER,50000000
205,206,Llama-3.1-8B,Baseline,13,6,High,HIGHER,50000000
207,208,Llama-3.1-8B,Baseline,13,8,High,HIGHER,15000000
208,209,Llama-3.1-8B,Baseline,14,1,Low,HIGHER,2400
209,210,Llama-3.1-8B,Baseline,14,2,Low,HIGHER,2200
210,211,Llama-3.1-8B,Baseline,14,3,Low,HIGHER,2500
211,212,Llama-3.1-8B,Baseline,14,4,Low,HIGHER,2500
212,213,Llama-3.1-8B,Baseline,14,5,Low,HIGHER,2200
213,214,Llama-3.1-8B,Baseline,14,6,Low,HIGHER,2200
214,215,Llama-3.1-8B,Baseline,14,7,Low,HIGHER,2100
215,216,Llama-3.1-8B,Baseline,14,8,Low,HIGHER,2400
216,217,Llama-3.1-8B,Baseline,14,1,High,HIGHER,8500
217,218,Llama-3.1-8B,Baseline,14,2,High,HIGHER,8500
218,219,Llama-3.1-8B,Baseline,14,3,High,HIGHER,8500
219,220,Llama-3.1-8B,Baseline,14,4,High,HIGHER,7500
220,221,Llama-3.1-8B,Baseline,14,5,High,HIGHER,8000
221,222,Llama-3.1-8B,Baseline,14,6,High,HIGHER,6500
222,223,Llama-3.1-8B,Baseline,14,7,High,HIGHER,7500
223,224,Llama-3.1-8B,Baseline,14,8,High,HIGHER,7500
224,225,Llama-3.1-8B,Baseline,15,1,Low,HIGHER,550
225,226,Llama-3.1-8B,Baseline,15,2,Low,HIGHER,550
226,227,Llama-3.1-8B,Baseline,15,3,Low,HIGHER,550
227,228,Llama-3.1-8B,Baseline,15,4,Low,HIGHER,550
228,229,Llama-3.1-8B,Baseline,15,5,Low,HIGHER,550
229,230,Llama-3.1-8B,Baseline,15,6,Low,HIGHER,550
230,231,Llama-3.1-8B,Baseline,15,7,Low,HIGHER,550
231,232,Llama-3.1-8B,Baseline,15,8,Low,HIGHER,530
232,233,Llama-3.1-8B,Baseline,15,1,High,HIGHER,2000
233,234,Llama-3.1-8B,Baseline,15,2,High,HIGHER,1850
234,235,Llama-3.1-8B,Baseline,15,3,High,HIGHER,1800
235,236,Llama-3.1-8B,Baseline,15,4,High,HIGHER,1750
236,237,Llama-3.1-8B,Baseline,15,5,High,HIGHER,1800
237,238,Llama-3.1-8B,Baseline,15,6,High,HIGHER,1700
238,239,Llama-3.1-8B,Baseline,15,7,High,HIGHER,2200
239,240,Llama-3.1-8B,Baseline,15,8,High,HIGHER,2500
241,242,Llama-3.1-8B,Baseline,16,2,Low,HIGHER,55
242,243,Llama-3.1-8B,Baseline,16,3,Low,HIGHER,55
243,244,Llama-3.1-8B,Baseline,16,4,Low,HIGHER,55
244,245,Llama-3.1-8B,Baseline,16,5,Low,HIGHER,55
245,246,Llama-3.1-8B,Baseline,16,6,Low,HIGHER,55
246,247,Llama-3.1-8B,Baseline,16,7,Low,HIGHER,55
247,248,Llama-3.1-8B,Baseline,16,8,Low,HIGHER,55
251,252,Llama-3.1-8B,Baseline,16,4,High,HIGHER,175
256,257,Llama-3.1-8B,Baseline,17,1,Low,HIGHER,150000
257,258,Llama-3.1-8B,Baseline,17,2,Low,HIGHER,150000
258,259,Llama-3.1-8B,Baseline,17,3,Low,HIGHER,150000
259,260,Llama-3.1-8B,Baseline,17,4,Low,HIGHER,150000
260,261,Llama-3.1-8B,Baseline,17,5,Low,HIGHER,150000
261,262,Llama-3.1-8B,Baseline,17,6,Low,HIGHER,150000
262,263,Llama-3.1-8B,Baseline,17,7,Low,HIGHER,150000
263,264,Llama-3.1-8B,Baseline,17,8,Low,HIGHER,200000
264,265,Llama-3.1-8B,Baseline,17,1,High,HIGHER,150000
265,266,Llama-3.1-8B,Baseline,17,2,High,HIGHER,750000
266,267,Llama-3.1-8B,Baseline,17,3,High,HIGHER,1000000
267,268,Llama-3.1-8B,Baseline,17,4,High,HIGHER,1500000
269,270,Llama-3.1-8B,Baseline,17,6,High,HIGHER,750000
270,271,Llama-3.1-8B,Baseline,17,7,High,HIGHER,700000
271,272,Llama-3.1-8B,Baseline,17,8,High,HIGHER,750000
272,273,Llama-3.1-8B,Baseline,18,1,Low,HIGHER,50
273,274,Llama-3.1-8B,Baseline,18,2,Low,HIGHER,50
274,275,Llama-3.1-8B,Baseline,18,3,Low,HIGHER,50
275,276,Llama-3.1-8B,Baseline,18,4,Low,HIGHER,40
276,277,Llama-3.1-8B,Baseline,18,5,Low,HIGHER,40
277,278,Llama-3.1-8B,Baseline,18,6,Low,HIGHER,40
278,279,Llama-3.1-8B,Baseline,18,7,Low,HIGHER,40
279,280,Llama-3.1-8B,Baseline,18,8,Low,HIGHER,40
280,281,Llama-3.1-8B,Baseline,18,1,High,HIGHER,150
281,282,Llama-3.1-8B,Baseline,18,2,High,HIGHER,150
282,283,Llama-3.1-8B,Baseline,18,3,High,HIGHER,150
283,284,Llama-3.1-8B,Baseline,18,4,High,HIGHER,150
284,285,Llama-3.1-8B,Baseline,18,5,High,HIGHER,120
285,286,Llama-3.1-8B,Baseline,18,6,High,HIGHER,150
286,287,Llama-3.1-8B,Baseline,18,7,High,HIGHER,150
287,288,Llama-3.1-8B,Baseline,18,8,High,HIGHER,120
288,289,Llama-3.1-8B,Baseline,19,1,Low,HIGHER,55000
289,290,Llama-3.1-8B,Baseline,19,2,Low,HIGHER,120000
290,291,Llama-3.1-8B,Baseline,19,3,Low,HIGHER,60000
291,292,Llama-3.1-8B,Baseline,19,4,Low,HIGHER,55000
292,293,Llama-3.1-8B,Baseline,19,5,Low,HIGHER,120000
293,294,Llama-3.1-8B,Baseline,19,6,Low,HIGHER,55000
294,295,Llama-3.1-8B,Baseline,19,7,Low,HIGHER,55000
295,296,Llama-3.1-8B,Baseline,19,8,Low,HIGHER,120000
296,297,Llama-3.1-8B,Baseline,19,1,High,HIGHER,250000
297,298,Llama-3.1-8B,Baseline,19,2,High,HIGHER,250000
298,299,Llama-3.1-8B,Baseline,19,3,High,HIGHER,250000
299,300,Llama-3.1-8B,Baseline,19,4,High,HIGHER,250000
300,301,Llama-3.1-8B,Baseline,19,5,High,HIGHER,250000
301,302,Llama-3.1-8B,Baseline,19,6,High,HIGHER,250000
302,303,Llama-3.1-8B,Baseline,19,7,High,HIGHER,250000
303,304,Llama-3.1-8B,Baseline,19,8,High,HIGHER,250000
304,305,Llama-3.1-8B,Baseline,20,1,Low,HIGHER,1000
305,306,Llama-3.1-8B,Baseline,20,2,Low,HIGHER,1000
306,307,Llama-3.1-8B,Baseline,20,3,Low,HIGHER,1100
307,308,Llama-3.1-8B,Baseline,20,4,Low,HIGHER,1200
308,309,Llama-3.1-8B,Baseline,20,5,Low,HIGHER,1200
309,310,Llama-3.1-8B,Baseline,20,6,Low,HIGHER,1200
310,311,Llama-3.1-8B,Baseline,20,7,Low,HIGHER,1200
311,312,Llama-3.1-8B,Baseline,20,8,Low,HIGHER,1200
312,313,Llama-3.1-8B,Baseline,20,1,High,HIGHER,1800
313,314,Llama-3.1-8B,Baseline,20,2,High,HIGHER,1800
314,315,Llama-3.1-8B,Baseline,20,3,High,HIGHER,1800
315,316,Llama-3.1-8B,Baseline,20,4,High,HIGHER,1800
316,317,Llama-3.1-8B,Baseline,20,5,High,HIGHER,1800
317,318,Llama-3.1-8B,Baseline,20,6,High,HIGHER,1800
318,319,Llama-3.1-8B,Baseline,20,7,High,HIGHER,1800
319,320,Llama-3.1-8B,Baseline,20,8,High,HIGHER,1700
321,322,Llama-3.1-8B,Baseline,21,2,Low,HIGHER,1200
322,323,Llama-3.1-8B,Baseline,21,3,Low,HIGHER,1300
323,324,Llama-3.1-8B,Baseline,21,4,Low,HIGHER,1300
324,325,Llama-3.1-8B,Baseline,21,5,Low,HIGHER,1300
325,326,Llama-3.1-8B,Baseline,21,6,Low,HIGHER,1400
326,327,Llama-3.1-8B,Baseline,21,7,Low,HIGHER,1300
327,328,Llama-3.1-8B,Baseline,21,8,Low,HIGHER,1400
328,329,Llama-3.1-8B,Baseline,21,1,High,HIGHER,1200
329,330,Llama-3.1-8B,Baseline,21,2,High,HIGHER,1400
330,331,Llama-3.1-8B,Baseline,21,3,High,HIGHER,1300
331,332,Llama-3.1-8B,Baseline,21,4,High,HIGHER,1200
332,333,Llama-3.1-8B,Baseline,21,5,High,HIGHER,1300
333,334,Llama-3.1-8B,Baseline,21,6,High,HIGHER,1400
334,335,Llama-3.1-8B,Baseline,21,7,High,HIGHER,1400
335,336,Llama-3.1-8B,Baseline,21,8,High,HIGHER,1400
336,337,Llama-3.1-8B,Baseline,22,1,Low,HIGHER,1800
337,338,Llama-3.1-8B,Baseline,22,2,Low,HIGHER,1800
338,339,Llama-3.1-8B,Baseline,22,3,Low,HIGHER,1800
339,340,Llama-3.1-8B,Baseline,22,4,Low,HIGHER,1800
340,341,Llama-3.1-8B,Baseline,22,5,Low,HIGHER,1800
341,342,Llama-3.1-8B,Baseline,22,6,Low,HIGHER,1800
342,343,Llama-3.1-8B,Baseline,22,7,Low,HIGHER,1500
343,344,Llama-3.1-8B,Baseline,22,8,Low,HIGHER,1800
344,345,Llama-3.1-8B,Baseline,22,1,High,HIGHER,5500
345,346,Llama-3.1-8B,Baseline,22,2,High,HIGHER,5500
346,347,Llama-3.1-8B,Baseline,22,3,High,HIGHER,5500
347,348,Llama-3.1-8B,Baseline,22,4,High,HIGHER,5500
348,349,Llama-3.1-8B,Baseline,22,5,High,HIGHER,5500
349,350,Llama-3.1-8B,Baseline,22,6,High,HIGHER,5500
350,351,Llama-3.1-8B,Baseline,22,7,High,HIGHER,5500
351,352,Llama-3.1-8B,Baseline,22,8,High,HIGHER,6500
352,353,Llama-3.1-8B,Baseline,23,1,Low,HIGHER,250
353,354,Llama-3.1-8B,Baseline,23,2,Low,HIGHER,250
354,355,Llama-3.1-8B,Baseline,23,3,Low,HIGHER,250
355,356,Llama-3.1-8B,Baseline,23,4,Low,HIGHER,250
356,357,Llama-3.1-8B,Baseline,23,5,Low,HIGHER,250
357,358,Llama-3.1-8B,Baseline,23,6,Low,HIGHER,250
358,359,Llama-3.1-8B,Baseline,23,7,Low,HIGHER,250
359,360,Llama-3.1-8B,Baseline,23,8,Low,HIGHER,250
360,361,Llama-3.1-8B,Baseline,23,1,High,HIGHER,800
361,362,Llama-3.1-8B,Baseline,23,2,High,HIGHER,800
362,363,Llama-3.1-8B,Baseline,23,3,High,HIGHER,800
363,364,Llama-3.1-8B,Baseline,23,4,High,HIGHER,800
364,365,Llama-3.1-8B,Baseline,23,5,High,HIGHER,800
366,367,Llama-3.1-8B,Baseline,23,7,High,HIGHER,800
367,368,Llama-3.1-8B,Baseline,23,8,High,HIGHER,750
369,370,Llama-3.1-8B,Baseline,24,2,Low,HIGHER,60000
370,371,Llama-3.1-8B,Baseline,24,3,Low,HIGHER,60000
371,372,Llama-3.1-8B,Baseline,24,4,Low,HIGHER,60000
375,376,Llama-3.1-8B,Baseline,24,8,Low,HIGHER,60000
384,385,Llama-3.1-8B,Baseline,25,1,Low,HIGHER,1200
385,386,Llama-3.1-8B,Baseline,25,2,Low,HIGHER,600
386,387,Llama-3.1-8B,Baseline,25,3,Low,HIGHER,550
387,388,Llama-3.1-8B,Baseline,25,4,Low,HIGHER,550
388,389,Llama-3.1-8B,Baseline,25,5,Low,HIGHER,600
389,390,Llama-3.1-8B,Baseline,25,6,Low,HIGHER,1200
390,391,Llama-3.1-8B,Baseline,25,7,Low,HIGHER,1200
391,392,Llama-3.1-8B,Baseline,25,8,Low,HIGHER,650
392,393,Llama-3.1-8B,Baseline,25,1,High,HIGHER,2500
393,394,Llama-3.1-8B,Baseline,25,2,High,HIGHER,2500
394,395,Llama-3.1-8B,Baseline,25,3,High,HIGHER,2500
395,396,Llama-3.1-8B,Baseline,25,4,High,HIGHER,2500
396,397,Llama-3.1-8B,Baseline,25,5,High,HIGHER,2500
397,398,Llama-3.1-8B,Baseline,25,6,High,HIGHER,2500
398,399,Llama-3.1-8B,Baseline,25,7,High,HIGHER,2500
399,400,Llama-3.1-8B,Baseline,25,8,High,HIGHER,2500
400,401,DeepSeek-V3.1,Baseline,1,1,Low,HIGHER,10000
401,402,DeepSeek-V3.1,Baseline,1,2,Low,HIGHER,5000
402,403,DeepSeek-V3.1,Baseline,1,3,Low,HIGHER,10000
403,404,DeepSeek-V3.1,Baseline,1,4,Low,HIGHER,10000
404,405,DeepSeek-V3.1,Baseline,1,5,Low,HIGHER,5000
406,407,DeepSeek-V3.1,Baseline,1,7,Low,HIGHER,15000
407,408,DeepSeek-V3.1,Baseline,1,8,Low,HIGHER,10000
408,409,DeepSeek-V3.1,Baseline,1,1,High,HIGHER,12000
409,410,DeepSeek-V3.1,Baseline,1,2,High,HIGHER,12000
410,411,DeepSeek-V3.1,Baseline,1,3,High,HIGHER,11000
411,412,DeepSeek-V3.1,Baseline,1,4,High,HIGHER,12000
412,413,DeepSeek-V3.1,Baseline,1,5,High,HIGHER,10000
413,414,DeepSeek-V3.1,Baseline,1,6,High,HIGHER,12000
414,415,DeepSeek-V3.1,Baseline,1,7,High,HIGHER,10000
415,416,DeepSeek-V3.1,Baseline,1,8,High,HIGHER,11000
416,417,DeepSeek-V3.1,Baseline,2,1,Low,HIGHER,13
417,418,DeepSeek-V3.1,Baseline,2,2,Low,HIGHER,16
418,419,DeepSeek-V3.1,Baseline,2,3,Low,HIGHER,14
419,420,DeepSeek-V3.1,Baseline,2,4,Low,HIGHER,15
420,421,DeepSeek-V3.1,Baseline,2,5,Low,HIGHER,12
421,422,DeepSeek-V3.1,Baseline,2,6,Low,HIGHER,15
422,423,DeepSeek-V3.1,Baseline,2,7,Low,HIGHER,15
423,424,DeepSeek-V3.1,Baseline,2,8,Low,HIGHER,14
424,425,DeepSeek-V3.1,Baseline,2,1,High,LOWER,16
425,426,DeepSeek-V3.1,Baseline,2,2,High,LOWER,16
426,427,DeepSeek-V3.1,Baseline,2,3,High,LOWER,16
427,428,DeepSeek-V3.1,Baseline,2,4,High,LOWER,16
428,429,DeepSeek-V3.1,Baseline,2,5,High,LOWER,16
429,430,DeepSeek-V3.1,Baseline,2,6,High,LOWER,15
430,431,DeepSeek-V3.1,Baseline,2,7,High,LOWER,15
431,432,DeepSeek-V3.1,Baseline,2,8,High,LOWER,15
